i,t,m,women,boys,men,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
474-103,2019,Boucle du Mouhoun,1,3,2,1,0,0,1,0,2,1,0,0,0,0,1,1,1,0,1.945910149
474-111,2019,Boucle du Mouhoun,2,2,3,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1.945910149
474-186,2019,Boucle du Mouhoun,1,1,1,5,1,1,0,2,0,1,0,1,0,0,1,1,0,0,2.079441542
474-190,2019,Boucle du Mouhoun,1,1,1,6,0,1,1,0,0,4,0,1,0,0,1,1,0,0,2.197224577
474-208,2019,Boucle du Mouhoun,1,1,1,2,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1.609437912
474-217,2019,Boucle du Mouhoun,1,2,1,4,0,1,2,0,0,2,0,1,0,0,1,1,0,0,2.079441542
474-220,2019,Boucle du Mouhoun,2,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,2,1.609437912
474-232,2019,Boucle du Mouhoun,3,1,4,1,0,0,0,1,1,0,0,0,0,1,3,0,1,2,2.197224577
474-24,2019,Boucle du Mouhoun,1,0,1,3,0,1,0,0,0,0,0,2,0,0,1,1,0,0,1.609437912
474-69,2019,Boucle du Mouhoun,3,1,4,1,1,0,0,1,0,0,0,0,1,2,2,0,1,1,2.197224577
474-95,2019,Boucle du Mouhoun,1,1,1,3,1,0,0,1,0,2,0,0,0,0,1,1,0,0,1.791759469
474-98,2019,Boucle du Mouhoun,2,1,2,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1.791759469
475-11,2019,Boucle du Mouhoun,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1.098612289
475-120,2019,Boucle du Mouhoun,3,8,2,3,1,0,3,1,3,1,1,1,0,0,2,2,0,1,2.772588722
475-127,2019,Boucle du Mouhoun,1,0,1,3,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1.609437912
475-13,2019,Boucle du Mouhoun,1,2,3,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,1.791759469
475-26,2019,Boucle du Mouhoun,2,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1.609437912
475-32,2019,Boucle du Mouhoun,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.6931471806
475-33,2019,Boucle du Mouhoun,6,0,1,1,0,0,0,1,0,0,0,1,0,2,1,2,0,1,2.079441542
475-53,2019,Boucle du Mouhoun,1,0,1,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
475-59,2019,Boucle du Mouhoun,1,3,3,3,0,0,0,0,2,1,1,2,3,0,0,1,0,0,2.302585093
475-61,2019,Boucle du Mouhoun,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
475-97,2019,Boucle du Mouhoun,1,3,2,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,1.791759469
475-99,2019,Boucle du Mouhoun,4,3,2,2,1,0,0,1,0,1,2,0,1,2,1,2,0,0,2.397895273
480-13,2019,Hauts Bassins,1,0,1,4,0,1,0,2,0,1,0,0,0,0,1,1,0,0,1.791759469
480-19,2019,Hauts Bassins,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1.098612289
480-23,2019,Hauts Bassins,2,2,1,5,0,1,1,1,1,3,0,0,0,0,1,2,0,0,2.302585093
480-30,2019,Hauts Bassins,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
480-5,2019,Hauts Bassins,1,3,2,1,0,0,0,0,2,1,1,0,1,0,1,1,0,0,1.945910149
480-56,2019,Hauts Bassins,1,3,1,1,1,0,2,1,0,0,0,0,1,0,0,1,0,0,1.791759469
480-58,2019,Hauts Bassins,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1.386294361
480-64,2019,Hauts Bassins,1,0,1,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1.386294361
480-68,2019,Hauts Bassins,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
480-69,2019,Hauts Bassins,2,3,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1.945910149
480-78,2019,Hauts Bassins,6,7,5,8,4,0,0,2,2,6,2,0,0,0,3,6,1,0,3.258096538
480-82,2019,Hauts Bassins,2,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1.609437912
481-110,2019,Boucle du Mouhoun,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
481-125,2019,Boucle du Mouhoun,1,0,1,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1.386294361
481-127,2019,Boucle du Mouhoun,1,2,1,3,1,0,0,2,1,0,0,1,0,0,1,1,0,0,1.945910149
481-13,2019,Boucle du Mouhoun,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
481-160,2019,Boucle du Mouhoun,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
481-28,2019,Boucle du Mouhoun,1,1,1,2,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1.609437912
481-38,2019,Boucle du Mouhoun,1,1,2,4,0,0,0,1,1,3,0,0,1,0,0,1,1,0,2.079441542
481-45,2019,Boucle du Mouhoun,1,1,1,3,0,1,1,0,0,2,0,0,0,0,1,1,0,0,1.791759469
481-54,2019,Boucle du Mouhoun,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
481-72,2019,Boucle du Mouhoun,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1.098612289
481-84,2019,Boucle du Mouhoun,2,1,2,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1.791759469
481-85,2019,Boucle du Mouhoun,1,2,1,2,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1.791759469
484-101,2019,Boucle du Mouhoun,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1.386294361
484-106,2019,Boucle du Mouhoun,1,2,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1.609437912
484-126,2019,Boucle du Mouhoun,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
484-130,2019,Boucle du Mouhoun,1,2,2,1,0,0,0,0,1,1,2,0,0,0,1,1,0,0,1.791759469
484-147,2019,Boucle du Mouhoun,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
484-171,2019,Boucle du Mouhoun,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
484-175,2019,Boucle du Mouhoun,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.098612289
484-182,2019,Boucle du Mouhoun,2,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1.609437912
484-183,2019,Boucle du Mouhoun,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1.386294361
484-42,2019,Boucle du Mouhoun,1,1,2,2,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1.791759469
484-49,2019,Boucle du Mouhoun,3,0,3,1,0,1,0,0,0,0,1,1,1,2,1,0,0,0,1.945910149
484-51,2019,Boucle du Mouhoun,1,4,1,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,1.791759469
485-107,2019,Boucle du Mouhoun,1,1,1,2,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1.609437912
485-131,2019,Boucle du Mouhoun,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.6931471806
485-149,2019,Boucle du Mouhoun,1,2,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1.386294361
485-165,2019,Boucle du Mouhoun,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
485-175,2019,Boucle du Mouhoun,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
485-19,2019,Boucle du Mouhoun,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1.386294361
485-24,2019,Boucle du Mouhoun,2,2,1,2,0,0,0,1,0,1,2,0,1,0,0,0,0,2,1.945910149
485-51,2019,Boucle du Mouhoun,2,2,1,1,0,0,0,0,2,1,0,1,0,0,1,1,0,0,1.791759469
485-62,2019,Boucle du Mouhoun,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
485-65,2019,Boucle du Mouhoun,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
485-73,2019,Boucle du Mouhoun,2,0,2,4,0,1,0,2,0,1,0,0,1,1,1,1,0,0,2.079441542
485-80,2019,Boucle du Mouhoun,3,3,4,0,0,0,1,0,1,0,1,0,4,2,0,1,0,0,2.302585093
486-10,2019,Boucle du Mouhoun,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.098612289
486-136,2019,Boucle du Mouhoun,2,2,2,2,0,0,0,0,1,2,1,0,1,0,0,1,1,1,2.079441542
486-137,2019,Boucle du Mouhoun,1,1,2,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1.609437912
486-176,2019,Boucle du Mouhoun,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
486-187,2019,Boucle du Mouhoun,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1.098612289
486-191,2019,Boucle du Mouhoun,1,2,3,4,0,1,1,1,0,1,1,1,2,0,0,1,1,0,2.302585093
486-227,2019,Boucle du Mouhoun,6,2,4,2,0,0,1,0,0,0,2,2,1,3,2,1,0,2,2.63905733
486-229,2019,Boucle du Mouhoun,1,3,3,0,0,0,2,0,1,0,1,0,1,0,0,1,1,0,1.945910149
486-41,2019,Boucle du Mouhoun,1,2,2,2,0,0,0,1,2,0,0,1,1,0,1,1,0,0,1.945910149
486-46,2019,Boucle du Mouhoun,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6931471806
486-64,2019,Boucle du Mouhoun,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.6931471806
486-88,2019,Boucle du Mouhoun,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1.386294361
487-117,2019,Boucle du Mouhoun,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1.386294361
487-12,2019,Boucle du Mouhoun,1,2,1,2,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1.791759469
487-137,2019,Boucle du Mouhoun,1,1,0,2,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1.386294361
487-157,2019,Boucle du Mouhoun,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1.386294361
487-171,2019,Boucle du Mouhoun,1,2,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1.386294361
487-35,2019,Boucle du Mouhoun,1,1,1,3,0,1,1,0,0,2,0,0,0,0,1,1,0,0,1.791759469
487-46,2019,Boucle du Mouhoun,1,3,1,2,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1.945910149
487-51,2019,Boucle du Mouhoun,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
487-68,2019,Boucle du Mouhoun,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806
487-80,2019,Boucle du Mouhoun,1,1,1,2,0,0,0,0,0,2,1,0,0,0,1,1,0,0,1.609437912
487-9,2019,Boucle du Mouhoun,1,2,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1.609437912
487-93,2019,Boucle du Mouhoun,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
49-104,2019,Sahel,1,2,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1.609437912
49-117,2019,Sahel,3,2,1,8,1,1,1,3,0,3,0,1,0,0,1,3,0,0,2.63905733
49-118,2019,Sahel,1,2,1,4,0,1,0,2,2,1,0,0,0,0,1,1,0,0,2.079441542
49-121,2019,Sahel,2,3,2,2,0,0,2,0,1,1,0,1,1,1,0,1,1,0,2.197224577
49-130,2019,Sahel,3,3,4,6,0,1,1,4,1,0,1,2,3,1,0,0,1,1,2.772588722
49-136,2019,Sahel,1,3,2,2,0,0,0,1,2,1,1,0,1,0,1,1,0,0,2.079441542
49-65,2019,Sahel,4,2,3,1,1,1,1,0,0,0,0,1,2,1,0,1,1,1,2.302585093
49-66,2019,Sahel,2,3,2,4,1,1,1,2,1,1,0,0,1,1,1,1,0,0,2.397895273
49-70,2019,Sahel,2,4,1,3,2,2,2,1,0,0,0,1,1,1,0,0,0,0,2.302585093
49-78,2019,Sahel,2,4,1,3,2,1,2,2,0,0,0,0,1,2,0,0,0,0,2.302585093
49-79,2019,Sahel,1,1,1,2,1,0,0,2,0,0,0,0,0,1,1,0,0,0,1.609437912
49-80,2019,Sahel,1,3,1,3,1,0,1,1,1,2,0,0,0,0,1,1,0,0,2.079441542
490-12,2019,Boucle du Mouhoun,2,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1.609437912
490-123,2019,Boucle du Mouhoun,1,2,1,2,0,0,1,0,0,2,1,0,0,0,1,1,0,0,1.791759469
490-141,2019,Boucle du Mouhoun,2,5,2,2,0,0,1,1,3,1,1,0,1,1,0,1,1,0,2.397895273
490-142,2019,Boucle du Mouhoun,2,3,1,4,0,1,1,0,0,2,2,1,0,0,1,2,0,0,2.302585093
490-166,2019,Boucle du Mouhoun,2,3,2,2,0,1,0,0,2,1,1,0,1,1,1,1,0,0,2.197224577
490-37,2019,Boucle du Mouhoun,4,4,1,7,2,1,0,3,0,3,2,0,0,2,0,2,1,0,2.772588722
490-46,2019,Boucle du Mouhoun,1,2,3,2,0,0,0,0,1,0,2,2,1,0,0,1,1,0,2.079441542
490-51,2019,Boucle du Mouhoun,2,1,2,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1.791759469
490-60,2019,Boucle du Mouhoun,2,6,2,2,0,0,2,0,2,2,2,0,1,0,1,2,0,0,2.48490665
490-62,2019,Boucle du Mouhoun,3,4,1,1,0,0,2,0,1,1,1,1,0,0,1,1,0,1,2.197224577
490-65,2019,Boucle du Mouhoun,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
490-84,2019,Boucle du Mouhoun,2,4,2,1,1,1,0,0,2,0,1,0,1,1,1,1,0,0,2.197224577
493-10,2019,Boucle du Mouhoun,2,1,2,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1.791759469
493-114,2019,Boucle du Mouhoun,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
493-157,2019,Boucle du Mouhoun,2,3,2,2,0,1,2,0,0,1,1,0,1,1,0,1,1,0,2.197224577
493-170,2019,Boucle du Mouhoun,5,8,7,8,0,2,5,4,2,1,2,1,4,4,1,0,1,1,3.33220451
493-224,2019,Boucle du Mouhoun,1,1,1,4,0,1,0,2,0,1,1,0,0,0,1,1,0,0,1.945910149
493-229,2019,Boucle du Mouhoun,2,6,2,2,1,0,3,2,2,0,0,0,1,1,0,1,1,0,2.48490665
493-240,2019,Boucle du Mouhoun,1,5,1,0,1,0,1,0,2,0,1,0,0,0,1,1,0,0,1.945910149
493-41,2019,Boucle du Mouhoun,2,0,3,2,0,0,0,2,0,0,0,0,2,1,0,0,1,1,1.945910149
493-46,2019,Boucle du Mouhoun,4,4,2,0,0,0,0,0,2,0,2,1,1,1,1,2,0,0,2.302585093
493-68,2019,Boucle du Mouhoun,1,1,1,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1.609437912
493-75,2019,Boucle du Mouhoun,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
493-80,2019,Boucle du Mouhoun,2,3,2,2,1,0,1,0,1,2,0,0,0,1,1,1,1,0,2.197224577
494-109,2019,Boucle du Mouhoun,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
494-120,2019,Boucle du Mouhoun,1,4,1,1,0,0,1,0,2,1,1,0,0,0,1,1,0,0,1.945910149
494-13,2019,Boucle du Mouhoun,1,2,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1.386294361
494-22,2019,Boucle du Mouhoun,1,6,1,1,2,0,2,0,2,1,0,0,0,0,1,1,0,0,2.197224577
494-23,2019,Boucle du Mouhoun,1,1,1,2,0,2,1,0,0,0,0,0,1,1,0,0,0,0,1.609437912
494-27,2019,Boucle du Mouhoun,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
494-33,2019,Boucle du Mouhoun,3,2,2,2,0,0,1,0,1,2,0,0,1,2,0,1,1,0,2.197224577
494-47,2019,Boucle du Mouhoun,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1.386294361
494-51,2019,Boucle du Mouhoun,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
494-54,2019,Boucle du Mouhoun,3,4,4,2,3,0,0,0,0,2,1,0,2,2,2,1,0,0,2.564949357
494-73,2019,Boucle du Mouhoun,1,0,1,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1.386294361
494-90,2019,Boucle du Mouhoun,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1.386294361
498-126,2019,Boucle du Mouhoun,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.6931471806
498-161,2019,Boucle du Mouhoun,1,1,2,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1.609437912
498-164,2019,Boucle du Mouhoun,2,0,1,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1.386294361
498-171,2019,Boucle du Mouhoun,1,2,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1.609437912
498-173,2019,Boucle du Mouhoun,3,2,2,1,0,0,0,0,0,1,2,1,1,1,0,1,1,0,2.079441542
498-3,2019,Boucle du Mouhoun,3,1,1,2,0,1,1,1,0,0,0,0,1,2,0,0,0,1,1.945910149
498-46,2019,Boucle du Mouhoun,1,1,1,5,0,2,0,0,1,2,0,1,0,0,1,1,0,0,2.079441542
498-6,2019,Boucle du Mouhoun,6,3,4,3,0,1,1,0,1,0,2,3,2,1,0,3,1,1,2.772588722
498-77,2019,Boucle du Mouhoun,1,2,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1.609437912
498-85,2019,Boucle du Mouhoun,2,2,0,2,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1.791759469
498-87,2019,Boucle du Mouhoun,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.098612289
498-92,2019,Boucle du Mouhoun,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.6931471806
50-19,2019,Sahel,1,3,0,3,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1.945910149
50-24,2019,Sahel,1,0,1,3,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1.609437912
50-54,2019,Sahel,1,0,1,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
50-56,2019,Sahel,2,1,1,3,1,1,0,2,0,0,0,1,0,1,1,0,0,0,1.945910149
50-58,2019,Sahel,2,2,3,3,0,0,0,0,1,1,2,2,1,0,0,0,1,2,2.302585093
50-6,2019,Sahel,1,2,1,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1.609437912
50-73,2019,Sahel,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1.386294361
50-81,2019,Sahel,1,2,1,2,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1.791759469
50-82,2019,Sahel,1,0,1,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
50-86,2019,Sahel,1,0,1,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,1.386294361
50-91,2019,Sahel,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1.386294361
50-92,2019,Sahel,2,1,1,4,0,1,0,2,1,1,0,0,0,1,0,1,1,0,2.079441542
501-1,2019,Hauts Bassins,2,2,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1.609437912
501-15,2019,Hauts Bassins,1,1,1,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1.609437912
501-16,2019,Hauts Bassins,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
501-24,2019,Hauts Bassins,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1.386294361
501-38,2019,Hauts Bassins,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1.386294361
501-4,2019,Hauts Bassins,2,1,1,3,0,1,1,0,0,2,0,0,0,0,1,2,0,0,1.945910149
501-41,2019,Hauts Bassins,6,5,6,5,0,2,2,1,2,1,1,2,3,1,3,2,0,2,3.091042453
501-47,2019,Hauts Bassins,3,3,3,3,1,1,1,2,0,0,1,0,1,2,1,0,1,1,2.48490665
501-57,2019,Hauts Bassins,1,1,1,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1.609437912
501-66,2019,Hauts Bassins,2,3,1,3,1,0,0,1,1,1,1,1,1,1,0,1,0,0,2.197224577
501-74,2019,Hauts Bassins,2,1,1,2,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1.791759469
501-9,2019,Hauts Bassins,1,2,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1.609437912
502-16,2019,Hauts Bassins,1,2,2,2,0,0,0,0,0,1,2,1,1,0,1,1,0,0,1.945910149
502-20,2019,Hauts Bassins,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
502-21,2019,Hauts Bassins,2,1,1,2,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1.791759469
502-23,2019,Hauts Bassins,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1.386294361
502-25,2019,Hauts Bassins,1,2,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1.609437912
502-28,2019,Hauts Bassins,2,2,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1.791759469
502-45,2019,Hauts Bassins,1,1,1,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1.609437912
502-49,2019,Hauts Bassins,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.098612289
502-51,2019,Hauts Bassins,2,3,2,2,0,1,2,0,0,1,1,0,1,1,0,1,1,0,2.197224577
502-54,2019,Hauts Bassins,1,1,1,2,0,0,0,0,0,1,2,1,0,0,0,0,0,1,1.609437912
502-55,2019,Hauts Bassins,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
502-57,2019,Hauts Bassins,2,3,1,4,0,0,1,2,2,1,0,1,0,0,1,2,0,0,2.302585093
504-114,2019,Hauts Bassins,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.6931471806
504-142,2019,Hauts Bassins,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
504-147,2019,Hauts Bassins,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
504-167,2019,Hauts Bassins,1,3,1,1,1,0,0,0,2,1,0,0,0,0,0,1,1,0,1.791759469
504-182,2019,Hauts Bassins,2,2,1,2,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1.945910149
504-205,2019,Hauts Bassins,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
504-210,2019,Hauts Bassins,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
504-35,2019,Hauts Bassins,2,1,1,2,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1.791759469
504-49,2019,Hauts Bassins,1,2,1,2,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1.791759469
504-53,2019,Hauts Bassins,1,1,1,2,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1.609437912
504-56,2019,Hauts Bassins,1,2,1,2,0,0,1,0,1,2,0,0,1,0,0,1,0,0,1.791759469
504-87,2019,Hauts Bassins,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1.386294361
507-100,2019,Hauts Bassins,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
507-102,2019,Hauts Bassins,1,1,1,2,0,0,0,2,1,0,0,0,0,0,1,1,0,0,1.609437912
507-106,2019,Hauts Bassins,1,2,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1.386294361
507-113,2019,Hauts Bassins,1,0,1,2,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1.386294361
507-121,2019,Hauts Bassins,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
507-138,2019,Hauts Bassins,2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1.386294361
507-140,2019,Hauts Bassins,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1.386294361
507-36,2019,Hauts Bassins,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6931471806
507-55,2019,Hauts Bassins,5,8,7,1,5,0,2,1,0,0,2,0,5,3,1,1,0,1,3.044522438
507-59,2019,Hauts Bassins,1,0,1,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1.386294361
507-69,2019,Hauts Bassins,2,1,2,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1.791759469
507-87,2019,Hauts Bassins,1,2,0,2,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1.609437912
51-115,2019,Sahel,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1.386294361
51-126,2019,Sahel,1,2,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1.609437912
51-136,2019,Sahel,2,1,2,2,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1.945910149
51-158,2019,Sahel,1,0,3,3,0,0,0,1,0,0,1,2,1,0,0,1,1,0,1.945910149
51-195,2019,Sahel,7,3,5,5,2,0,0,2,0,2,2,1,2,3,1,2,1,2,2.995732274
51-39,2019,Sahel,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
51-50,2019,Sahel,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1.098612289
51-6,2019,Sahel,1,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
51-66,2019,Sahel,1,3,1,3,0,0,1,2,1,1,1,0,0,0,0,1,1,0,2.079441542
51-8,2019,Sahel,1,2,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
51-87,2019,Sahel,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289
51-92,2019,Sahel,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.386294361
512-121,2019,Centre,2,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1.386294361
512-147,2019,Centre,1,3,1,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,1.609437912
512-154,2019,Centre,1,1,3,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,1.609437912
512-191,2019,Centre,1,1,2,2,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1.791759469
512-22,2019,Centre,1,2,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1.386294361
512-26,2019,Centre,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
512-28,2019,Centre,2,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1.609437912
