i,t,m,women,boys,men,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
113-8,2013_Q4,Cascade,3,5,2,2,0,0,2,1,2,1,1,0,1,0,0,3,1,0,2.48490665
113-9,2013_Q4,Cascade,3,6,2,7,2,2,2,2,1,1,1,2,1,1,0,1,1,1,2.890371758
114-1,2013_Q4,Cascade,1,3,1,2,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1.945910149
114-10,2013_Q4,Cascade,2,5,3,1,2,0,1,0,1,1,1,0,2,1,1,1,0,0,2.397895273
114-11,2013_Q4,Cascade,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
114-12,2013_Q4,Cascade,1,2,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1.609437912
114-14,2013_Q4,Cascade,3,2,2,2,0,1,2,0,0,1,0,0,1,3,1,0,0,0,2.197224577
114-15,2013_Q4,Cascade,1,2,1,3,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1.945910149
114-2,2013_Q4,Cascade,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
114-4,2013_Q4,Cascade,1,2,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1.386294361
114-5,2013_Q4,Cascade,2,2,1,2,0,0,2,2,0,0,0,0,0,1,0,1,1,0,1.945910149
114-6,2013_Q4,Cascade,2,2,1,3,1,1,1,1,0,0,0,1,0,1,1,1,0,0,2.079441542
114-8,2013_Q4,Cascade,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
114-9,2013_Q4,Cascade,1,3,1,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,1.609437912
115-1,2013_Q4,Cascade,1,2,0,2,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1.609437912
115-10,2013_Q4,Cascade,1,1,2,2,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1.791759469
115-11,2013_Q4,Cascade,1,3,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1.609437912
115-12,2013_Q4,Cascade,1,1,1,2,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1.609437912
115-2,2013_Q4,Cascade,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
115-3,2013_Q4,Cascade,0,4,1,2,2,0,2,2,0,0,0,0,0,0,1,0,0,0,1.945910149
115-4,2013_Q4,Cascade,1,1,1,3,0,2,1,0,0,1,0,0,0,1,1,0,0,0,1.791759469
115-5,2013_Q4,Cascade,1,2,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
115-6,2013_Q4,Cascade,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1.386294361
115-7,2013_Q4,Cascade,2,3,1,1,2,1,1,0,0,0,0,0,0,1,0,1,1,0,1.945910149
115-8,2013_Q4,Cascade,1,1,1,3,0,2,1,0,0,1,0,0,0,1,0,0,1,0,1.791759469
115-9,2013_Q4,Cascade,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1.386294361
