i,t,m,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
1813,2011,Niger,0,0,0,2,0,0,1,0,2,0,0,0,1,0
1814,2011,Niger,1,0,1,0,0,0,1,0,1,0,0,0,1,0
1815,2011,Niger,1,1,0,0,0,1,0,0,0,0,0,1,0,0
1816,2011,Niger,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1817,2011,Niger,2,1,0,0,1,0,0,1,0,0,0,2,0,0
1818,2011,Niger,0,0,0,0,1,0,0,0,0,0,1,1,0,0
1901,2011,Niger,0,0,0,1,0,0,1,0,0,0,1,1,0,1
1902,2011,Niger,1,0,0,0,0,1,0,0,1,0,0,1,0,0
1903,2011,Niger,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1904,2011,Niger,0,1,0,0,0,1,0,1,0,0,0,1,0,0
1905,2011,Niger,2,1,0,0,0,1,0,0,0,0,0,1,0,0
1906,2011,Niger,1,1,0,0,1,0,0,0,0,0,0,1,0,0
1907,2011,Niger,0,1,0,0,0,0,1,3,1,1,1,0,1,0
1908,2011,Niger,0,2,0,1,1,1,0,1,2,0,1,0,1,0
1909,2011,Niger,0,2,4,3,1,0,1,1,1,3,2,0,1,1
1910,2011,Niger,0,0,0,1,1,0,1,0,0,0,0,0,2,0
1911,2011,Niger,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1912,2011,Niger,1,2,0,0,0,1,0,0,1,0,0,1,0,0
1913,2011,Niger,1,3,1,0,0,1,0,0,0,0,0,1,0,0
1914,2011,Niger,0,2,2,0,0,1,0,2,0,0,0,1,0,0
1915,2011,Niger,2,1,0,0,0,1,0,0,1,3,1,0,1,0
1916,2011,Niger,1,2,0,0,0,1,0,0,0,0,0,1,0,0
1917,2011,Niger,0,1,2,0,0,1,0,2,1,1,0,1,0,0
1918,2011,Niger,0,0,2,2,0,1,0,0,2,0,0,0,1,0
2001,2011,Niger,1,0,1,0,0,1,0,1,2,0,0,0,1,0
2002,2011,Niger,1,1,0,0,0,1,0,2,1,0,0,1,0,0
2003,2011,Niger,4,0,2,1,0,1,0,1,2,1,1,1,1,0
2004,2011,Niger,0,1,0,0,1,0,1,0,0,0,0,0,0,1
2005,2011,Niger,1,1,0,0,0,1,0,1,1,2,0,1,0,0
2006,2011,Niger,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2007,2011,Niger,1,1,0,2,0,0,1,0,1,3,0,0,1,0
2008,2011,Niger,2,2,1,1,0,0,0,2,2,0,2,1,1,0
2009,2011,Niger,0,0,0,2,2,2,1,0,0,0,0,0,3,0
2010,2011,Niger,0,2,0,0,0,0,0,2,1,0,0,1,0,0
2011,2011,Niger,0,1,1,0,0,1,0,0,0,0,0,1,1,0
2012,2011,Niger,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2013,2011,Niger,0,1,0,1,1,0,1,0,0,0,0,0,0,1
2014,2011,Niger,0,0,0,0,1,0,1,0,0,0,0,0,0,1
2015,2011,Niger,0,0,0,0,0,1,0,1,2,0,0,1,0,0
2016,2011,Niger,1,0,0,0,1,0,0,1,2,0,0,1,0,0
2017,2011,Niger,1,1,0,0,1,0,0,1,0,0,0,1,0,0
2018,2011,Niger,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2101,2011,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2102,2011,Niger,1,1,1,0,1,0,0,1,0,0,0,1,0,0
2103,2011,Niger,2,0,0,0,0,1,0,0,1,0,0,1,0,0
2104,2011,Niger,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2105,2011,Niger,0,1,2,1,1,0,1,0,0,0,0,0,1,0
2106,2011,Niger,1,1,0,0,0,1,0,0,0,0,0,1,0,0
2107,2011,Niger,0,1,1,0,0,1,0,1,0,0,0,1,0,0
2108,2011,Niger,0,0,0,0,0,0,1,0,1,2,0,0,1,0
2109,2011,Niger,0,0,1,0,0,0,0,0,2,1,1,1,0,0
2110,2011,Niger,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2111,2011,Niger,1,0,0,0,1,0,0,1,1,0,0,1,0,0
2112,2011,Niger,0,2,0,0,0,1,0,1,0,0,0,1,0,0
2113,2011,Niger,1,0,0,0,1,0,0,0,0,0,0,1,0,1
2114,2011,Niger,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2115,2011,Niger,1,0,0,1,0,1,0,1,1,0,0,0,1,0
2116,2011,Niger,0,1,0,1,0,0,1,0,1,1,0,0,0,1
