i,t,m,Apple,Bread,Cassava (dough),Cassava (fresh),Cocoa (milk powder beverages),Coconut (fresh),Cocoyam Leaves,Coffee,Condiments,Eggplant,Eggs,"Fish (smoked, sea)",Garlic,Herring (smoked),Milk (powdered),Oil (vegetable),Okra,Onion,Orange,Other Fish,Other Spices,Pepper (fresh),Pineapple,Plantain,Rice (imported),Salmon (smoked),Salt,Sugar (granulated),Sugar Bread,Tomato (fresh),Tomato (paste),Water,Yam,Biscuit,"Cassava (white, flour)",Chewing Gum,Chicken (frozen),Fish (fried),"Fish (smoked, river)",Ginger,Groundnut,Ice Cream,Maize (flour/dough),Malt Drinks (bottle),Malt Drinks (canned),Oil (coconut),Oil (palm),Other Milk Products,Other Oils,Palm Nut,Soft Drinks,Spaghetti,Tilapia,Watermelon,Yoghurt,Banana,Milk (evaporated),Beef,Beef (steak),Chicken (wing),Juice,Other Beverages,Pepper (powder),Potato,Snail,Cerelac (Baby food),White Oats,Chicken (thigh),Fish (canned),Fish (dried),Fish (salted),Other Vegetable,Rice (local),Pork (feet),Bitters,Cocoyam,Gin,Beef (corned),Carrot,Chicken (broiler),Cowpea,Instant Noodle,Maize (grain),Margarine,Milk (fresh),Pawpaw,Tea bag,Tuna (processed),Wine,Mackerel (processed),"Milk (tinned, condensed)",Other Meat,Akpeteshie,Beef (offal),Curry Power,"Cassava (yellow, flour)",Chicken (live),Grape,Macaroni,Millet (flour),"Pepper (dried, red)",Beer,Agushie Seed,Cassava (dried),Goat,Cigarette,Shrimp,Sugar (cubed),Kapla,Millet,Cocoa Powder,Sausage (beef),Other Tubers,Mango,Dawadawa,Avocado,Crab,Honey,Pork,Beef (leg),Sausage (chicken),Wheat Flour,Shallot,Sweet Pepper,Chicken (breast),Lime,Chicken (gizzard),Other Fruits,Shea Butter,Other Tobacco,Sausage (pork),Chocolate,Other Cereal,Guineafowl,Pork (fillet),Oil (palm kernel),Canned Fruits,Oil (groundnut),Water Yam,Corflake,Cashew,Other Spirits,Whisky,Beef (face),Chilli Powder (black pepper),Coconut (dried),Guinea corn/sorghum,Vinegar,Tobacco,Pork (rib),Taro,Couscous,Maizena,Schnapps,Pork (shoulder)
70778/15,2016-17,Northern,,,,,,,,,17,,,,,57,10,,35,13,,,,,,,,,9,38,9,13,14.5,,,,,,,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
70779/01,2016-17,Northern,,25,,,,,,,3,,,,,,,,4,,,12,,1.5,,,,,,10,,11,,,,,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,7,10,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70779/02,2016-17,Northern,,25,,,,,,,6,,,,1,,5,,10,,,47,,1,,,,4,,10.5,,13,,2.5,,,,,,,,0.5,,,,,,2,,,,,,,,,,,,,,,,,4,,,,,,,,,,24,,,,,,,,4,,2,,,,1,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,7,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70779/03,2016-17,Northern,,11,,,,,3,,8,,,,,,,8,15,2,,18,,3,,,,,,15.5,7,34,2.8,6,,,,,,2,6,,,,,,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,6,,,,,,,,18,,,,,,5,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,2,,,,,,,,22,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
70779/04,2016-17,Northern,,27,,,,,2,,5,,,,,,,8,8,2,,23,,1,,,,,,8,10,22,2,5.5,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,25,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,6,,,,,,,,,,,,,,5,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70779/05,2016-17,Northern,,13,,,,,2,,7,,,,,,,,4,,,30,,1,,,,,,7.5,,19,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,,,,,,2.4,,,,,,,,,2,,,,,5,,,4,,,,,,,,,,,6,,,,,,,,16,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
70779/06,2016-17,Northern,,14,,,,,,6,2,,,,,,,,10,,,50,,5,,,,,,22.5,,20,2.1,3,,,,,,,,2,5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,100,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70779/07,2016-17,Northern,,13,,,,,,,3,,,,,,,,10,4,,62,,2,,,,,,46,28,34,,4.5,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,12,20,,,,,,,,4,,,,,,5,,,,,,,,,,,,,,7,,,,,,,,,,,,,,4,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70779/08,2016-17,Northern,,24,,,,,4,,8,,,,,,4,,2,1,,35,,4,,,,6,,12,4,23,,1.5,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,2,,,,,,,,,6,,80,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,11,,,,,,,,18,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
70779/10,2016-17,Northern,,11,,,,,,,6,,,,,,,,,,,,,,,,,,,18,6,7,,2.5,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,6,,,,,,,,,,,,,,4,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70779/11,2016-17,Northern,,23,,,,,2,,8,,,4,,,2.1,,4,2,,25,,3,,,,,3,5,5,27,2.1,3.5,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4,52,,,,,,,,10,,,,,,8,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,10,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70779/12,2016-17,Northern,,25,,,,,11,,14,,,,1,,,8,17,,4,15,,8,,,,,,25,21,34,,6.2,,,2,,,,,3,,,,,,,,,,,,,,,,8,,,,,,,5,,,,,,,,,,,,,,,,,,30,,,,,,3,,,,,,,,,,,,,,9,,,8,,,,,,,,,,,9,,,,,,,,24,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
70779/13,2016-17,Northern,,4,,,,,,,4,,,,,,,,6,,,15,,1,,,,,3,7,13,15,,2.5,,,,,10,,,4.5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,7,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70779/14,2016-17,Northern,,9,,,,,,,9,,,,,,,,10,,,40,,1,,,,,,18,14,30,,1,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,10,,,,,,,,,,,,,,1,,,,,,,,,,,,,,6,,,4,,,,,,,,,,,4.4,,,,,,,,21,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
70779/15,2016-17,Northern,,16,,,,,1,,10,,,,1,,4,8,3,,2,30,,2,,,,,,4,12,16,,3,,,,,,,,0.5,4,,,,,,,,,,,,,,,,,12,,,,,2,,,,,,,,,,15,,,,,,,,10,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,13,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
70780/01,2016-17,Northern,,5,,,,,6,,18.5,,,,,23,1.5,3,,3,,,,,,,,4,5,2.9,1,,2.8,,,,1,,,,,,,,,,,,,,,,2,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
70780/02,2016-17,Northern,,4,,,,,,,3,,,,,1,5,,3,0.5,,,,,,,,,1.5,5,,,3.5,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,12,,,,,,,,,,92.5,,,,2.5,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2,,30,,,,,,,,
70780/03,2016-17,Northern,,20,,,,,,,6,,,,,5,3.5,5,,1,,,,,,,5.5,,1,12,,,4.9,,,3.5,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70780/04,2016-17,Northern,,8,,,0.6,,,,2.5,,,,,5,1,,,,,,,,,,,,5,8.5,,,,0.5,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,9,,,,,,,,
70780/05,2016-17,Northern,,,,,,,,,27,,,,,25,,5,19,5,,,,,,,,,8,7,,,,,,,,,,,,,14.5,,,,,,,,,,1.5,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,3,,,,4,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
70780/06,2016-17,Northern,,10.5,,,1,,0.5,,8,,,,,9,2,,20,2.5,,,,,,,,2,5,10,,,2.8,,,1,,,,,,,,,,,,,,,,,1.5,,,4,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,
70780/07,2016-17,Northern,,,,,4,,,,30,,,,,36,,,,13,,,,,,,,,11.5,17.5,,5,13,,,,0.5,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,35,,,,,,,,4,,100,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,4,,,,,,,,
70780/08,2016-17,Northern,,,,,,,,,24,,,,,29,,,,3.5,,,,,,,,,10,2,2,,,,,,,,,,,,21,,,,,,4,,,,1,,,3,,,,,,,,,5,,,,,,,,,3.5,35,,,,,,,,24,,30,,,,2,,,,,,,,,,,,,,8,,,,,,,,,10,,,,,5,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
70780/09,2016-17,Northern,,,,,,,9,,35,,,,,49,2.5,2,17,10.5,,,,16,,,,,18,13,,4,21,,,,,,,,,1,36,,,,6,,,,,,3,,,4,,,,,,,1,,9,,,,,,,,,5,85,,,,,,,,,,105.5,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,47,,,,,,,2,,16,,,,,,,,
70780/10,2016-17,Northern,,7,,,3,,,,19,,,,,28,3,,24,13,7,,,,,,,,6,28,7,,,,,,2,,,,,,15,,,,,,,,,,,,,11,,3,,,,,,,,,,,,,,,,5,18,,,,,,,,,,,,,,5,,,,,,,,,,,,,,6,,,,,,,,,5,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,4,,,,,,,,
70780/11,2016-17,Northern,,,,,,,,,10,,,,,23,,32,12,2,,,,,,,,,13,5,,,9,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,120,,,,,,,,7,,,,,,,,,,,,,,,,,,,,10,,,6,,2.5,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,8,,,,,,,,,9.5,,,,,,,,
70780/12,2016-17,Northern,,10,,,,,,,35,,,,,26,4,32,13,8,,,,,,,,,12,22,,1,21,,,2.5,30,,,,,,8,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,1,88,,,,,,,,20,,120,,,,8.5,,,,,,,,,,,,,,6,,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,,,,,,,,,9,,,,,,,,,,,,,,,,,
70780/13,2016-17,Northern,,2,,,,,,,26.5,,,,,28,,24,5,10,,,,2,,,,,10.5,4,,,13.9,,,,7,,,,,2,35,,,,,,,,,6,,,,4,,,,,,,,,2,,,,,,,,,1,36,,,,,,,,,,68.6,,,,4,,,,,,,,,,,,,,6,,,,,,,,,25,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,12,,,,,,,,
70780/14,2016-17,Northern,,18,,,,,,,21,,,,,33,,,10,10,,,,,,,,,7,14,,3,,,,5,9,,,,,,11,,,,,,2,,,7,3,,,,,3,,,,,,,,,,,,,,,,,33,,,,,,,,6,,,,,,,,,,,,,,,,15,,,,2,,,,,,,,,10,,,,,,,,,,,,,,,,,,,9,,,,,,,,,14,,,,,,,,,10,,,,,,,,
70780/15,2016-17,Northern,,4,,,,,,,6,,,,,16,,,14,,,,,,,,,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,
70781/01,2016-17,Northern,,19,,,,,,,11,,,,,,,10,7,,,20,,6,,,,,2,16,5,21,,1.5,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,13,20,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,2,,,,,2,,,,,,,10,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70781/02,2016-17,Northern,,2,,,,,,,4,,,,,,,,5,3,,20,,4,,,,,,5,4,19,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,10,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70781/03,2016-17,Northern,,8,,,,,,,1,,,,,,2,,7,,,,,4,,,,5,,4.5,4,11,,,,,,,,,,0.5,13,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,9,10,,,,,,,,9,,,,,,2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,6,,,,,,,,16,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
70781/04,2016-17,Northern,,7,,,,,,,6,,,,,,,,2,3,,20,,2,,,,,2,,11,21,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,11,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
70781/05,2016-17,Northern,,20,,,,,,0.8,11,,,,,,,,8,,,10,,,,,,,,11.5,,15,,0.5,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,14,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70781/06,2016-17,Northern,,4,,,,,,,5,,,,,,,,,,,9,,2,,,,,,14.5,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,10,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70781/07,2016-17,Northern,,13,,,,,,,4,,,,,,2,,4,,,30,,3,,,,,,16,6,22,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,5,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70781/08,2016-17,Northern,,21,,,,,,,4,,,,,,,8,11,2,,25,,4,,,,,2,11.5,5,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,3,,,,,,,,,7,,,,,,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,18,,,,,,,,16.5,,,,,,13,,,,,,,,,4,,,,,,,,,,,,,,,,,
70781/09,2016-17,Northern,,22,,,,,,,2,,,,,,,,10,,,10,,5,,,,,1,6,,27,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,2,10,,,,,,,,2,,,,,,4.2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,6,,,,,,,,22,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
70781/10,2016-17,Northern,,24,,,,,,,11,,,,,,,,10,4,,35,,6,,,,,2,26,4,26,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,11,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,2,,,,,,,,,,,,,,10,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70781/11,2016-17,Northern,,16,,,,,,,6,,,,,,8,,4,4,,35,,5,,,,,3,22,8,20,,,,,,,,,,,6,,,5,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,20,,,,,,,,7,,90,,,,4,,,,,,,,,,,,,,4,,,,,,,,,,,,,,6,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70781/12,2016-17,Northern,,12,,,,,,,7,,,,1,,,10,6,4,,20,5,2,,,,,1,10,7,15,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,2,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,,4,,,,,,,,5,,,,,,8,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70781/13,2016-17,Northern,,16,,,,,,,9,,,,,,2,,6,,,20,,3,,,,,2,13,,23,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,2,,40,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,6,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70781/14,2016-17,Northern,,21,,,,,,,6,,,,,,,4,4,,,5,,,,,,,,7,,8,,1,,,,,,,,,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,,,,,,,,7,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70781/15,2016-17,Northern,,17,,,,,,,2,,,,,,,,8,,,10,,4,,,,,,6,7,15,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,6,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70782/01,2016-17,Northern,,6,,,,,,,9,,,,,15,,37,,5,,,,,,,,,10,4,12,5,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,36,,,,,,,,5,,5,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
70782/02,2016-17,Northern,,,,,,,,,9,,,,,20,,13,,4,,,,,,,,,16,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
70782/03,2016-17,Northern,,8,,,,,,,9,,,,,148,,27,,16,,,,,,,,,6.5,26,,5,6,,,,,,,,,,15,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,24,,,,,,,,,,24,,,,9,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70782/04,2016-17,Northern,,,,,,,,,20,,,,,27,,15,3,10.5,,,,,,,,,14,5,,,10,,,,,,,,,,14,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,9,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
70782/05,2016-17,Northern,,24,,,,,,,19,,,,,68,,,9,8,,,,15,,,30,5,11,31,,5,,,,,,,,,,,6,,,,,,,,,,,,,,,,27,12,,,,,15,,,,,,,,,30,60,,,,,,,,,,,,,,3,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,
70782/06,2016-17,Northern,,20,,,1,,,,16.5,,,,,45,,60,,14,,,,,,,,,23.5,52.5,5,,25.7,,,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,24.5,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70782/07,2016-17,Northern,,33,,,,,,,26,,,,,45,,27,,16,,,,,,,,10,21,71,,4,6,,,,,,,,,10,,,,,,,,,,,,,,,,,,20,,,,,,,,,,7,,,,19,30,,,,,,,,,,,,,,20,,,,,,,,,,,,,,12,,,,,,,,,,,,,,3,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70782/08,2016-17,Northern,,,,,,,,,,,,,,17,,4,,12.5,,,,,,,,,9,6,,,5.4,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,3,,,,,,6,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
70782/09,2016-17,Northern,,4,,,9,,,,38,,,,,40,,10,,19,,,7,,,,,,25,40,5,,14,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,42,,,,,,,,,,,,,,18,,,,,,,,,,,,,,17,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
70782/10,2016-17,Northern,,4,,,,,,,25,,,,,27,,25,,10,,,,,,,,,14,48.5,,17,,,,,,,,,,22,35,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,15,12,,,,,,,,,,,,,,9,,,,,,,,,,,,,,23,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70782/11,2016-17,Northern,,15,,,,,,,14,,,,,29,,44,3,19,,,,,,,,6,10,21.5,2,5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,2,78,,,,,,,,,,,,,,12,,,,,,,,,,,,,,13,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,
70782/12,2016-17,Northern,,17,,,,,,,17,,,,,57,5,27,,12,,,,3,,,,,16,38,,2,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,66,,,,,,,,,,,,,,9,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70782/13,2016-17,Northern,,13,,,2,,,,37,,,,,125,,,,15,,,,,,,,,12,21,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,,,,,,,,,,,,,,9,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,
70782/14,2016-17,Northern,,10,,,,,,,18,,,,,30,,4,,24,,,,5,,,,,12,23,5,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,36,,,,,,,,,,,,,,12,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,
70782/15,2016-17,Northern,,23,,,,,,,22,,,,,30,,19,4,25,,,,,,,,,16,25,10,7,20.5,,,,,,,,,10,10,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,5,84,,,,,,,,,,,,,,10,,,,,,,,,,,,,,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70783/01,2016-17,Northern,,,,,,,,,5,,,,,25,,5,,5,,,1,,,,,,8,12,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
70783/02,2016-17,Northern,,,,,,,,,2.5,,,,,24,8,,,4,,,1,,,,,,6,8.5,2,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
70783/03,2016-17,Northern,,,,,,,,,5,,,,,4,3.8,5,,0.5,,,0.2,,,,,,6,7.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
70783/04,2016-17,Northern,,,,,,,,,22,,,,,23,7,5,,10,,,2,,,,,,10,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,6.6,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
70783/05,2016-17,Northern,,,,,,,,,5,,,,,21,,2.5,,6,,,2.5,,,,,,5,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
70783/06,2016-17,Northern,,,,,,,,,1,,,,,4,1.4,,,,,,,,,,,,,3.5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70783/07,2016-17,Northern,,,,,,,,,4.5,,,,,37,,14,,13,,,1.6,,,,,,7,96.5,10,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
