i,t,m,women,men,boys,girls,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize,Rural
24331,2019,kolda,2,2,1,4,1,1,0,2,0,0,0,1,0,1,1,1,1,0,2.197224577,1
243310,2019,kolda,2,2,1,2,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1.945910149,1
243311,2019,kolda,6,6,6,9,2,2,1,2,2,4,2,1,3,3,0,3,2,0,3.295836866,1
243312,2019,kolda,1,1,2,2,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1.791759469,1
24332,2019,kolda,3,1,4,7,0,4,3,1,0,1,1,1,0,2,0,0,1,1,2.708050201,1
24333,2019,kolda,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1.386294361,1
24334,2019,kolda,2,1,2,2,0,0,1,1,1,1,0,0,0,0,1,2,0,0,1.945910149,1
24335,2019,kolda,3,1,6,3,1,1,2,1,2,1,1,0,0,0,1,2,0,1,2.564949357,1
24336,2019,kolda,3,2,2,3,0,0,1,1,1,1,0,1,1,1,1,2,0,0,2.302585093,1
24337,2019,kolda,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1.386294361,1
24338,2019,kolda,3,3,4,3,1,0,1,0,1,0,1,3,1,1,0,2,2,0,2.564949357,1
24339,2019,kolda,3,2,3,5,0,1,2,1,1,3,0,1,0,1,2,1,0,0,2.564949357,1
24351,2019,kolda,5,4,5,7,0,0,2,2,0,2,3,3,2,0,1,5,1,0,3.044522438,1
243510,2019,kolda,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1.098612289,1
243511,2019,kolda,3,3,5,2,1,0,2,2,0,0,2,0,1,0,1,2,1,1,2.564949357,1
243512,2019,kolda,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1.098612289,1
24352,2019,kolda,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.6931471806,1
24353,2019,kolda,1,1,5,1,1,0,2,1,1,0,1,0,0,1,1,0,0,0,2.079441542,1
24354,2019,kolda,2,2,1,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1.609437912,1
24355,2019,kolda,1,1,3,4,1,0,1,2,1,1,0,1,0,0,1,1,0,0,2.197224577,1
24356,2019,kolda,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
24357,2019,kolda,1,2,4,1,2,0,1,0,0,1,1,0,1,1,1,0,0,0,2.079441542,1
24358,2019,kolda,2,1,3,3,0,0,2,2,0,1,1,0,0,1,1,1,0,0,2.197224577,1
24359,2019,kolda,3,4,2,3,0,2,1,0,0,0,1,2,3,1,0,1,1,0,2.48490665,1
24371,2019,kolda,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.6931471806,0
243710,2019,kolda,3,1,1,1,0,0,1,0,0,0,0,1,0,2,1,1,0,0,1.791759469,0
243711,2019,kolda,6,4,1,4,0,1,0,1,1,1,0,1,1,2,1,1,2,3,2.708050201,0
243712,2019,kolda,4,5,2,4,0,1,1,0,1,2,0,1,2,2,3,1,0,1,2.708050201,0
24372,2019,kolda,1,3,1,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,1.791759469,0
24373,2019,kolda,5,2,2,8,0,1,0,2,0,2,2,3,0,1,2,2,0,2,2.833213344,0
24374,2019,kolda,5,2,1,4,0,3,0,1,0,0,1,0,0,4,2,1,0,0,2.48490665,0
24375,2019,kolda,3,2,3,4,1,0,1,0,1,1,0,3,0,0,1,2,1,1,2.48490665,0
24376,2019,kolda,3,5,3,4,1,0,0,1,1,3,1,1,4,0,1,2,0,0,2.708050201,0
24377,2019,kolda,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24378,2019,kolda,4,3,2,2,0,1,1,1,1,0,1,1,0,1,2,1,0,1,2.397895273,0
24379,2019,kolda,1,0,2,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1.386294361,0
24391,2019,kolda,4,4,2,3,0,0,0,0,0,1,2,2,0,0,1,2,3,2,2.564949357,0
243910,2019,kolda,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1.386294361,0
