i,t,m,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
20063,2010,Nigeria,1,2,1,0,0,1,0,0,0,1,2,1,1,0
20064,2010,Nigeria,1,0,0,1,1,0,1,1,0,1,0,2,1,0
20065,2010,Nigeria,1,1,1,0,0,1,0,0,1,0,0,1,0,0
20066,2010,Nigeria,1,1,1,0,0,0,1,1,1,1,0,0,1,0
20067,2010,Nigeria,0,0,0,1,0,1,0,0,1,0,1,1,1,0
20068,2010,Nigeria,1,2,0,0,1,1,0,0,0,1,0,1,1,0
20069,2010,Nigeria,0,1,0,0,1,1,0,1,2,0,0,1,0,0
20070,2010,Nigeria,0,1,0,1,0,1,0,1,1,0,0,0,2,1
20071,2010,Nigeria,1,3,5,2,1,1,0,3,3,0,0,2,2,0
20072,2010,Nigeria,0,0,2,0,0,0,1,0,4,1,0,1,0,1
20073,2010,Nigeria,2,0,0,0,0,1,1,0,1,0,0,1,0,1
20074,2010,Nigeria,0,0,0,2,11,2,0,0,0,0,1,2,4,1
20075,2010,Nigeria,0,1,3,2,6,4,1,0,2,4,3,1,2,2
20076,2010,Nigeria,0,0,1,0,0,1,0,0,1,1,2,0,1,0
20077,2010,Nigeria,1,1,0,2,0,0,1,0,1,1,2,1,2,0
20078,2010,Nigeria,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20079,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20080,2010,Nigeria,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20081,2010,Nigeria,2,1,0,1,0,1,0,0,0,0,1,1,0,0
20082,2010,Nigeria,0,0,0,2,1,0,1,0,1,0,0,3,2,0
20083,2010,Nigeria,1,0,2,0,1,1,1,0,0,0,3,1,0,1
20084,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,1,0,1
20085,2010,Nigeria,0,0,1,1,1,1,2,0,1,0,1,2,1,1
20086,2010,Nigeria,0,1,0,1,3,0,1,2,0,1,0,2,2,0
20087,2010,Nigeria,3,2,3,2,5,0,1,0,1,2,0,2,1,0
20088,2010,Nigeria,0,1,0,1,0,1,0,1,1,0,0,0,1,0
20089,2010,Nigeria,0,0,0,1,2,0,1,0,0,1,1,1,1,0
20090,2010,Nigeria,2,0,0,0,0,1,1,0,0,0,0,1,0,0
20091,2010,Nigeria,0,0,0,0,0,1,0,1,0,3,1,2,0,1
20092,2010,Nigeria,1,1,2,0,1,0,1,0,0,0,1,1,1,0
20093,2010,Nigeria,0,1,0,0,1,0,0,0,0,0,0,2,0,1
20094,2010,Nigeria,0,0,0,0,0,0,1,0,0,0,0,0,1,1
20095,2010,Nigeria,0,0,0,0,0,1,0,1,2,2,0,0,1,1
20096,2010,Nigeria,0,1,0,1,0,1,0,0,1,2,2,0,1,0
20097,2010,Nigeria,1,1,0,0,0,1,0,0,1,1,0,1,0,0
20098,2010,Nigeria,1,1,0,0,0,1,0,1,1,1,0,0,1,0
20099,2010,Nigeria,0,0,0,2,0,0,0,0,0,0,0,0,1,0
20100,2010,Nigeria,1,1,1,0,3,0,1,0,1,0,0,1,1,1
20101,2010,Nigeria,0,0,0,0,2,1,1,0,0,0,0,1,0,0
20102,2010,Nigeria,1,2,2,1,2,1,0,1,0,0,2,0,2,0
20103,2010,Nigeria,0,0,1,0,1,1,0,0,2,0,1,0,1,0
20104,2010,Nigeria,1,1,1,2,0,1,0,0,0,0,0,0,1,0
20105,2010,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20106,2010,Nigeria,0,1,2,1,0,1,0,0,0,1,0,1,1,0
20107,2010,Nigeria,0,1,1,0,1,0,0,0,0,0,0,1,0,1
20108,2010,Nigeria,1,0,1,0,2,2,0,0,0,0,0,0,2,1
20109,2010,Nigeria,0,1,0,0,0,0,1,0,0,0,0,0,1,0
20110,2010,Nigeria,0,2,1,0,0,0,1,0,0,1,0,0,1,0
20111,2010,Nigeria,0,2,1,0,0,0,1,2,1,0,0,0,1,0
20112,2010,Nigeria,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20113,2010,Nigeria,1,2,2,0,1,0,1,0,0,1,1,0,2,0
20114,2010,Nigeria,0,0,0,0,1,0,1,0,0,0,1,0,1,1
20115,2010,Nigeria,1,0,0,0,1,0,0,0,1,0,0,1,0,0
20116,2010,Nigeria,0,1,1,0,0,0,1,1,1,1,0,0,1,2
20117,2010,Nigeria,0,0,1,0,0,0,1,0,0,1,0,0,1,0
20118,2010,Nigeria,0,0,1,1,0,1,0,0,0,0,1,1,1,0
20119,2010,Nigeria,1,2,0,0,1,0,0,1,1,1,0,2,0,0
20120,2010,Nigeria,1,0,0,0,0,1,0,0,2,1,1,0,1,0
30001,2010,Nigeria,0,1,0,0,0,0,0,0,1,2,0,2,1,1
30002,2010,Nigeria,0,0,0,2,3,2,0,0,0,0,2,1,1,1
30003,2010,Nigeria,0,0,0,0,2,0,0,0,0,0,0,0,0,0
30004,2010,Nigeria,1,0,0,0,0,1,0,0,0,0,1,1,1,0
30005,2010,Nigeria,0,1,0,1,2,0,1,0,1,0,0,2,0,1
30006,2010,Nigeria,0,0,0,0,1,1,0,0,1,0,1,0,1,0
30007,2010,Nigeria,1,0,0,0,0,1,0,0,0,2,0,0,1,0
